ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
6059,2037.209,28.778,16.502,0.006,0.000,16.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6060,2037.580,23.852,16.548,0.004,0.000,16.548,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6061,2037.951,31.445,16.594,0.002,0.000,16.594,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6062,2038.323,28.964,16.641,0.000,0.000,16.641,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6063,2038.694,25.852,16.690,0.000,0.000,16.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6064,2039.066,19.445,16.740,0.000,0.000,16.740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6065,2039.437,24.445,16.791,0.000,0.000,16.791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6066,2039.809,25.334,16.842,0.000,0.000,16.842,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6067,2040.181,36.778,16.893,0.000,0.000,16.893,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6068,2040.553,15.926,16.945,0.000,0.000,16.945,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6069,2040.924,21.371,16.997,0.000,0.000,16.997,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6070,2041.296,26.482,17.050,0.000,0.000,17.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6071,2041.668,28.297,17.103,0.000,0.000,17.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6072,2042.040,26.408,17.157,0.000,0.000,17.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6073,2042.412,32.038,17.212,0.000,0.000,17.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6074,2042.784,25.816,17.266,0.000,0.000,17.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6075,2043.156,33.778,17.322,0.000,0.000,17.322,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6076,2043.529,35.630,17.378,0.000,0.000,17.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6077,2043.901,25.408,17.434,0.000,0.000,17.434,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6078,2044.273,19.630,17.492,0.000,0.000,17.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
