spectrum,det,n,level,arm,place,e_star,ch_star,tag_before,tag_after,d_max_kev,d_max_fwhm,ch_max,d_at_star_kev,cause
RC103_K40,RC103,1,choose,null,high,2189.44,792.22,gain,gain,0.0,0.0,642,0.0,neutral
RC103_K40,RC103,1,choose,shift,high,2189.44,903.09,gain,stored,4.2946,0.023,1023,3.8578,reacted
AS80_Cs137_0cm,AS80x80,9,choose,null,low,99.06,267.5,affine,affine,0.0,0.0,7236,-0.0,neutral
AS80_Cs137_0cm,AS80x80,9,choose,shift,low,99.06,367.71,affine,gain,13.316,3.1806,0,-12.0558,reacted
AS80_Cs137_0cm,AS80x80,9,choose,null,mid,719.7,1980.66,affine,affine,0.0,0.0,6786,0.0,neutral
AS80_Cs137_0cm,AS80x80,9,choose,shift,mid,719.7,2254.38,affine,stored,34.6619,3.1326,8191,-19.3545,reacted
RC103_Cs137_0cm,RC103,2,choose,null,low,99.06,40.86,gain/recal,affine/recal,4.6532,0.1165,1023,0.3591,unlock
RC103_Cs137_0cm,RC103,2,choose,shift,low,99.06,57.98,gain/recal,affine/recal,130.5391,8.4909,1023,-30.8768,reacted
RC103_Cs137_0cm,RC103,2,choose,null,mid,361.68,148.36,gain/recal,affine/recal,8.5775,0.3346,1023,0.2576,unlock
RC103_Cs137_0cm,RC103,2,choose,shift,mid,361.68,179.95,gain/recal,gain/recal,174.0792,1.5844,1023,-27.0624,reacted
RC103_Cs137_0cm,RC103,2,choose,null,high,990.44,392.05,gain/recal,affine/recal,2.5744,0.1476,1023,-0.4553,unlock
RC103_Cs137_0cm,RC103,2,choose,shift,high,990.44,440.6,gain/recal,gain/recal,188.6807,1.7173,1023,-74.6515,reacted
ASN16_Lu176,ASN16,5,choose,null,low,44.17,132.7,stored,stored,0.0,0.0,0,0.0,neutral
ASN16_Lu176,ASN16,5,choose,shift,low,44.17,181.79,stored,affine,25.1707,2.0658,8191,-5.7113,reacted
ASN16_Lu176,ASN16,5,choose,null,mid,359.23,970.0,stored,stored,0.0,0.0,0,0.0,neutral
ASN16_Lu176,ASN16,5,choose,shift,mid,359.23,1105.49,stored,stored,0.0,0.0,0,0.0,frozen
ASN16_Lu176,ASN16,5,choose,null,high,2191.23,5385.81,stored,stored,0.0,0.0,0,0.0,neutral
ASN16_Lu176,ASN16,5,choose,shift,high,2191.23,5671.9,stored,gain,110.5575,1.3664,8191,-73.1977,reacted
ASN16_Lu176_P0,ASN16,4,choose,null,low,44.17,136.99,poly1,poly1,0.0,0.0,5325,0.0,neutral
ASN16_Lu176_P0,ASN16,4,choose,shift,low,44.17,182.73,poly1,affine,315.3051,4.2483,8191,-9.937,reacted
ASN16_Lu176_P0,ASN16,4,choose,null,mid,212.46,574.39,poly1,poly1,0.0,0.0,355,0.0,neutral
ASN16_Lu176_P0,ASN16,4,choose,shift,mid,212.46,674.7,poly1,gain,72.6613,0.979,8191,-8.2415,reacted
ASN16_Lu176_P0,ASN16,4,choose,null,high,766.44,2014.25,poly1,poly1,0.0,0.0,6144,-0.0,neutral
ASN16_Lu176_P0,ASN16,4,choose,shift,high,766.44,2204.77,poly1,gain,28.9805,0.7493,2658,-28.1531,reacted
AS80_Lu176,AS80x80,7,choose,null,low,44.17,142.2,stored,stored,0.0,0.0,0,0.0,neutral
AS80_Lu176,AS80x80,7,choose,shift,low,44.17,198.6,stored,affine,15.4738,1.585,8191,-5.0322,reacted
AS80_Lu176,AS80x80,7,choose,null,mid,394.81,1094.67,stored,stored,0.0,0.0,0,0.0,neutral
AS80_Lu176,AS80x80,7,choose,shift,mid,394.81,1260.18,stored,stored,0.0,0.0,0,0.0,frozen
AS80_Lu176,AS80x80,7,choose,null,high,2646.74,6836.63,stored,stored,0.0,0.0,0,0.0,neutral
AS80_Lu176,AS80x80,7,choose,shift,high,2646.74,7222.34,stored,poly1,184.8572,2.1076,8191,-137.8033,reacted
RC103_K40Village,RC103,2,choose,null,low,619.06,241.98,gain,gain,0.0,0.0,0,0.0,neutral
RC103_K40Village,RC103,2,choose,shift,low,619.06,287.29,gain,stored,16.8124,0.1295,1023,-4.3273,reacted
RC103_K40Village,RC103,2,choose,null,mid,1344.32,506.93,gain,gain,0.0,0.0,768,-0.0,neutral
RC103_K40Village,RC103,2,choose,shift,mid,1344.32,570.0,gain,gain,124.5263,0.959,1023,-65.9538,reacted
RC103_K40Village,RC103,2,choose,null,high,2189.44,798.24,gain,gain,0.0,0.0,0,0.0,neutral
RC103_K40Village,RC103,2,choose,shift,high,2189.44,874.1,gain,gain,130.7228,1.0067,1023,-109.9065,reacted
RC103_Th232Village,RC103,4,choose,null,low,119.19,50.84,affine,affine,0.0,0.0,965,0.0,neutral
RC103_Th232Village,RC103,4,choose,shift,low,119.19,66.92,affine,affine,11.037,2.5317,0,-9.7262,reacted
RC103_Th232Village,RC103,4,choose,null,mid,789.45,312.84,affine,affine,0.0,0.0,965,0.0,neutral
RC103_Th232Village,RC103,4,choose,shift,mid,789.45,354.08,affine,gain,100.7892,1.2085,1023,-28.8876,reacted
RC103_Charoite,RC103,4,choose,null,low,93.11,44.57,affine,affine,0.0,0.0,653,-0.0,neutral
RC103_Charoite,RC103,4,choose,shift,low,93.11,58.14,affine,affine,115.2971,5.3162,1023,-15.7502,reacted
RC103_Charoite,RC103,4,choose,null,mid,336.55,138.67,affine,affine,0.0,0.0,964,-0.0,neutral
RC103_Charoite,RC103,4,choose,shift,mid,336.55,165.57,affine,gain,191.0653,3.5252,1023,-15.0999,reacted
RC103_Charoite,RC103,4,choose,null,high,912.38,360.42,affine,poly2,64.4016,3.9759,803,0.5547,gate:fit
RC103_Charoite,RC103,4,choose,shift,high,912.38,401.85,affine,gain,191.36,3.5249,1023,-60.6652,reacted
RC103_Lu176,RC103,3,choose,null,low,100.91,42.52,affine,affine,0.0,0.0,865,-0.0,neutral
RC103_Lu176,RC103,3,choose,shift,low,100.91,57.79,affine,stored,144.2784,1.6597,1023,0.9201,reacted
RC103_Lu176,RC103,3,choose,null,mid,321.12,133.56,affine,affine,0.0,0.0,886,-0.0,neutral
RC103_Lu176,RC103,3,choose,shift,mid,321.12,160.23,affine,stored,144.2784,1.6597,1023,14.7715,reacted
RC103_Lu176,RC103,3,choose,null,high,766.44,312.13,affine,affine,0.0,0.0,801,0.0,neutral
RC103_Lu176,RC103,3,choose,shift,high,766.44,351.73,affine,stored,144.2784,1.6597,1023,41.5336,reacted
HPGeGMX_Th232,HPGE_GMX,13,choose,null,low,104.63,318.0,affine,affine,0.0,0.0,6868,-0.0,neutral
HPGeGMX_Th232,HPGE_GMX,13,choose,shift,low,104.63,321.24,affine,stored,0.3027,2.6112,0,-0.2989,reacted
HPGeGMX_Th232,HPGE_GMX,13,choose,null,mid,739.66,2252.63,affine,affine,0.0,0.0,6305,-0.0,neutral
HPGeGMX_Th232,HPGE_GMX,13,choose,shift,mid,739.66,2261.2,affine,stored,0.3027,2.6112,0,-0.2759,reacted
HPGeGMX_Th228,HPGE_GMX,6,choose,null,low,255.41,778.19,affine,affine,0.0,0.0,6321,0.0,neutral
HPGeGMX_Th228,HPGE_GMX,6,choose,shift,low,255.41,783.32,affine,affine,0.4865,4.1398,0,-0.4181,reacted
HPGeGMX_Th228,HPGE_GMX,6,choose,null,mid,1155.65,3517.74,affine,affine,0.0,0.0,7355,0.0,neutral
HPGeGMX_Th228,HPGE_GMX,6,choose,shift,mid,1155.65,3528.61,affine,stored,0.3395,1.605,8191,-0.2534,reacted
HPGeGMX_Eu152,HPGE_GMX,7,choose,null,low,389.45,1186.53,affine,affine,0.0,0.0,8146,0.0,neutral
HPGeGMX_Eu152,HPGE_GMX,7,choose,shift,low,389.45,1192.53,affine,affine,2.6013,17.0939,8191,-1.2526,reacted
HPGeGMX_Eu152,HPGE_GMX,7,choose,null,mid,1066.7,3247.03,affine,affine,0.0,0.0,6417,-0.0,neutral
HPGeGMX_Eu152,HPGE_GMX,7,choose,shift,mid,1066.7,3256.95,affine,stored,0.3585,2.3026,8191,-0.2972,reacted
HPGeGMX_Eu152,HPGE_GMX,7,choose,null,high,2191.23,6669.29,affine,affine,0.0,0.0,8146,-0.0,neutral
HPGeGMX_Eu152,HPGE_GMX,7,choose,shift,high,2191.23,6683.5,affine,affine,5.4569,30.0008,8191,-3.8334,reacted
HPGeGMX_Background,HPGE_GMX,11,choose,null,low,119.32,595.41,affine,affine,0.0,0.0,6144,0.0,neutral
HPGeGMX_Background,HPGE_GMX,11,choose,shift,low,119.32,601.28,affine,stored,0.4577,3.8097,0,-0.4261,reacted
HPGeGMX_Background,HPGE_GMX,11,choose,null,mid,590.4,2951.37,affine,affine,0.0,0.0,5538,0.0,neutral
HPGeGMX_Background,HPGE_GMX,11,choose,shift,mid,590.4,2964.43,affine,stored,0.4577,3.8097,0,-0.3021,reacted
HPGeGEM_Th232,HPGE_GEM,17,choose,null,low,104.63,293.89,affine,affine,0.0,0.0,4096,-0.0,neutral
HPGeGEM_Th232,HPGE_GEM,17,choose,shift,low,104.63,296.8,affine,gain,0.9897,3.3076,8191,-0.3303,reacted
HPGeGEM_Th232,HPGE_GEM,17,choose,null,mid,739.66,2053.19,affine,affine,0.0,0.0,3337,-0.0,neutral
HPGeGEM_Th232,HPGE_GEM,17,choose,shift,mid,739.66,2060.93,affine,affine,0.1451,1.1134,8191,-0.1322,reacted
HPGeGEM_Ra226,HPGE_GEM,12,choose,null,low,93.11,262.87,poly2,poly2,0.0,0.0,8191,0.0,neutral
HPGeGEM_Ra226,HPGE_GEM,12,choose,shift,low,93.11,265.65,poly2,poly1,0.209,1.8036,0,-0.182,reacted
HPGeGEM_Ra226,HPGE_GEM,12,choose,null,mid,640.65,1780.87,poly2,poly2,0.0,0.0,8190,-0.0,neutral
HPGeGEM_Ra226,HPGE_GEM,12,choose,shift,mid,640.65,1788.14,poly2,gain,0.2702,0.4924,3711,-0.2124,reacted
HPGeGEM_K40,HPGE_GEM,2,choose,null,low,119.32,335.64,gain,poly1,0.9858,0.3643,8191,0.0221,unlock
HPGeGEM_K40,HPGE_GEM,2,choose,shift,low,119.32,338.65,gain,affine,1.0342,9.2915,0,-0.9523,reacted
HPGeGEM_K40,HPGE_GEM,2,choose,null,mid,590.42,1641.41,gain,affine,0.2261,0.8401,8191,0.0295,unlock
HPGeGEM_K40,HPGE_GEM,2,choose,shift,mid,590.42,1648.12,gain,gain,2.6717,0.9874,8191,-0.536,reacted
HPGeGEM_K40,HPGE_GEM,2,choose,null,high,2191.23,6076.58,gain,gain,0.0,0.0,4142,-0.0,neutral
HPGeGEM_K40,HPGE_GEM,2,choose,shift,high,2191.23,6089.49,gain,gain,3.2185,1.1894,8191,-2.3919,reacted
LaBrBril_Th228,LABR_BRIL,10,choose,null,low,119.43,42.83,affine,affine,0.0,0.0,864,-0.0,neutral
LaBrBril_Th228,LABR_BRIL,10,choose,shift,low,119.43,48.67,affine,stored,2.4189,1.4451,0,-2.2547,reacted
LaBrBril_Th228,LABR_BRIL,10,choose,null,mid,790.25,280.71,affine,affine,0.0,0.0,789,-0.0,neutral
LaBrBril_Th228,LABR_BRIL,10,choose,shift,mid,790.25,295.54,affine,stored,2.4189,1.4451,0,-1.4149,reacted
LaBrBril_Eu152,LABR_BRIL,13,choose,null,low,60.89,22.77,stored,stored,0.0,0.0,0,0.0,neutral
LaBrBril_Eu152,LABR_BRIL,13,choose,shift,low,60.89,26.91,stored,stored,0.0,0.0,0,0.0,frozen
