spectrum,det,part,matrix_applied,component,energy_kev,lines,intensity_pct,expected,measured,sigma,z,ratio,purity,decision,obligatory
G1S16_Th228_P25,G1S16,known,1,Th-228,215.26,2,0.2660,8150.8,7576.8,183.3,-3.13,0.9296,0.008,193.7,0
G1S16_Th228_P25,G1S16,known,1,Th-228,238.83,2,47.7000,12545.8,12303.4,188.8,-1.28,0.9807,0.002,183.2,0
G1S16_Th228_P25,G1S16,known,1,Th-228,290.45,3,6.0096,2043.8,2027.2,135.9,-0.12,0.9919,0.000,153.2,0
G1S16_Th228_P25,G1S16,known,1,Th-228,328.03,1,0.1250,1214.2,1344.8,127.8,1.02,1.1075,0.000,145.8,0
G1S16_Th228_P25,G1S16,known,1,Th-228,452.98,1,0.3630,699.8,519.2,93.9,-1.92,0.7419,0.000,108.8,0
G1S16_Th228_P25,G1S16,known,1,Th-228,510.77,1,8.1224,1709.8,1849.1,97.3,1.43,1.0815,0.000,103.7,0
G1S16_Th228_P25,G1S16,known,1,Th-228,583.06,2,30.6630,4051.8,3991.1,107.9,-0.56,0.9850,0.000,102.7,0
G1S16_Th228_P25,G1S16,known,1,Th-228,730.48,2,7.3133,938.4,923.7,74.6,-0.20,0.9843,0.000,79.7,0
G1S16_Th228_P25,G1S16,known,1,Th-228,785.40,2,1.1039,629.4,611.8,71.9,-0.24,0.9721,0.000,78.9,0
G1S16_Th228_P25,G1S16,known,1,Th-228,863.11,2,4.8705,598.1,568.1,69.3,-0.43,0.9499,0.000,76.0,0
G1S16_Th228_P25,G1S16,known,1,Th-228,952.12,1,0.1700,202.4,243.5,64.9,0.63,1.2026,0.000,73.5,0
G1S16_Th228_P25,G1S16,known,1,Th-228,1078.62,1,0.5640,253.2,153.0,62.7,-1.60,0.6041,0.000,71.5,0
G1S16_Th228_P25,G1S16,known,1,Th-228,1512.70,1,0.2900,346.6,322.5,60.3,-0.40,0.9303,0.000,66.9,0
G1S16_Th228_P25,G1S16,known,1,Th-228,1620.50,1,1.4700,531.5,506.7,38.5,-0.64,0.9534,0.000,36.3,0
G1S16_Th228_P25,G1S16,known,1,Th-228,1806.00,1,0.0900,400.5,387.6,38.7,-0.33,0.9677,0.000,38.8,0
G1S16_Th228_P25,G1S16,known,1,Th-228,2614.51,1,35.8516,1089.8,1067.0,39.5,-0.58,0.9791,0.000,25.9,0
G1S16_Y88_P25,G1S16,known,1,Y-88,898.04,1,93.6826,2211.7,2300.6,80.2,1.11,1.0402,1.000,74.7,1
G1S16_Y88_P25,G1S16,known,1,Y-88,1836.06,1,99.2400,1108.6,1135.5,45.7,0.59,1.0243,1.000,36.0,1
G1S16_Am241_P5,G1S16,known,1,Am-241,26.34,1,2.2700,80432.2,72171.6,281.4,-29.35,0.8973,1.000,137.7,1
G1S16_Am241_P5,G1S16,known,1,Am-241,59.54,1,35.9000,527851.7,552578.1,743.9,33.24,1.0468,1.000,45.3,1
G1S16_Ba133_P5,G1S16,known,1,Ba-133,31.69,4,114.6900,1519263.3,1442011.1,1201.9,-64.28,0.9492,1.000,78.2,1
G1S16_Ba133_P5,G1S16,known,1,Ba-133,53.16,1,2.1407,135861.1,144310.4,427.9,19.75,1.0622,1.000,322.6,1
G1S16_Ba133_P5,G1S16,known,1,Ba-133,80.89,2,35.5981,754992.3,819256.0,923.7,69.58,1.0851,1.000,300.3,1
G1S16_Ba133_P5,G1S16,known,1,Ba-133,160.61,1,0.6379,82470.6,145632.2,555.7,113.66,1.7659,1.000,662.9,1
G1S16_Ba133_P5,G1S16,known,1,Ba-133,276.40,1,7.1606,266559.7,262392.5,536.1,-7.77,0.9844,1.000,256.2,1
G1S16_Ba133_P5,G1S16,known,1,Ba-133,302.85,1,18.3358,347872.7,358408.4,613.3,17.18,1.0303,1.000,214.1,1
G1S16_Ba133_P5,G1S16,known,1,Ba-133,359.52,2,70.9914,793782.7,836077.4,919.3,46.01,1.0533,1.000,150.8,1
G1S16_Cd109_P5,G1S16,known,1,Cd-109,22.63,4,102.3044,184758.9,167546.4,409.8,-42.00,0.9068,1.000,25.1,1
G1S16_Cd109_P5,G1S16,known,1,Cd-109,88.03,1,3.6440,22913.9,49529.4,228.1,116.66,2.1615,1.000,73.2,1
G1S16_Ce139_P5,G1S16,known,1,Ce-139,34.23,4,79.2296,80908.1,71697.5,274.5,-33.55,0.8862,1.000,96.7,1
G1S16_Ce139_P5,G1S16,known,1,Ce-139,165.86,1,79.9000,115775.8,126643.7,360.9,30.11,1.0939,1.000,86.9,1
G1S16_Co57_P5,G1S16,known,1,Co-57,123.66,2,96.2800,6108.6,6285.4,87.6,2.02,1.0289,1.000,46.8,1
G1S16_Co60_P5,G1S16,known,1,Co-60,1173.23,1,99.8500,402704.9,403222.5,635.9,0.81,1.0013,1.000,49.1,1
G1S16_Co60_P5,G1S16,known,1,Co-60,1332.49,1,99.9826,325191.1,330232.7,578.9,8.71,1.0155,1.000,113.7,1
G1S16_Cs137_P5,G1S16,known,1,Cs-137,32.94,4,7.0080,263195.4,249296.5,524.9,-26.48,0.9472,1.000,265.0,1
G1S16_Cs137_P5,G1S16,known,1,Cs-137,661.66,1,85.1000,1689095.3,1720889.4,1312.2,24.23,1.0188,1.000,38.4,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,41.10,5,73.9696,1134771.8,1104781.6,1089.1,-27.54,0.9736,1.000,468.7,1
G1S16_Eu152_P5,G1S16,known,1,Eu-152,121.78,1,28.5300,678555.0,699385.6,924.4,22.53,1.0307,1.000,646.9,1
