True coincidence factor calculation results.

Decay branch(es):
 Eu-152   EC  Sm-152 (13.5077 y) - 72.08%
Eu-152   B-  Gd-152 (13.5077 y) - 27.92%

Date: 15/09/2026
Time: 18:21:18

Calculation settings:
cp.xrays = true
cp.annihilation = true
cp.angular = true
cp.angle_optimize = false
cp.calc_full_eff = false
cp.calc_spectrum = false
cp.calc_coincidence = true
cp.calc_scattered = true
cp.calc_effc = false
cp.calc_electron_ttb = true
cp.threads_number = 1

DetectorType = SCINTILLATOR
DS_CrystalDiameter = 6.3 cm
DS_CrystalHeight = 6.3 cm
DS_CrystalFrontReflectorThickness = 0.13 cm
DS_CrystalSideReflectorThickness = 0.1 cm
DS_CrystalFrontCladdingThickness = 0.18 cm
DS_CrystalSideCladdingThickness = 0.2 cm
DS_DetectorFrontPackagingThickness = 0 cm
DS_DetectorSidePackagingThickness = 0 cm
DS_DetectorFrontCapThickness = 0 cm
DS_DetectorSideCapThickness = 0 cm
DS_DetectorMountingThickness = 0.2 cm

DS_nCrystalElements = 2
DS_ZCrystal[0] = 11
DS_ZCrystal[1] = 53
DS_FractionTypeCrystal = MASS
DS_FractionsCrystal[0] = 0.153373
DS_FractionsCrystal[1] = 0.846627
DS_RoCrystal = 3.667
DS_nCrystalCladdingElements = 1
DS_ZCrystalCladding[0] = 13
DS_FractionTypeCrystalCladding = MASS
DS_FractionsCrystalCladding[0] = 1
DS_RoCrystalCladding = 2.7
DS_nCrystalReflectorElements = 2
DS_ZCrystalReflector[0] = 6
DS_ZCrystalReflector[1] = 9
DS_FractionTypeReflector = MASS
DS_FractionsCrystalReflector[0] = 0.240183
DS_FractionsCrystalReflector[1] = 0.759817
DS_RoCrystalReflector = 2.25
DS_nDetectorCapElements = 1
DS_ZDetectorCap[0] = 13
DS_FractionTypeDetectorCap = MASS
DS_FractionsDetectorCap[0] = 1
DS_RoDetectorCap = 2.7
DS_nDetectorPackagingElements = 1
DS_ZDetectorPackaging[0] = 13
DS_FractionTypeDetectorPackaging = MASS
DS_FractionsDetectorPackaging[0] = 1
DS_RoDetectorPackaging = 2.7

SourceType = POINT
pdistance = 5 cm
prho = 0 cm


Number of simulated decays: 20000000

Results:
-----------------------------------------------------------------------------------
##	E, MeV	I	dI(%)	CF	dCF(%)	Eff	dEff(%)	Areas	AreasCoi
-----------------------------------------------------------------------------------
143	0.901190	8.5355e-04	2.8293	1.14770	9.53	1.388e-02	6.50	237.00	206.50
144	0.906060	9.1737e-05	4.3644	1.17647	32.99	1.090e-02	22.36	20.00	17.00
145	0.919337	4.1853e-03	1.0851	1.15401	4.41	1.325e-02	3.00	1109.00	961.00
146	0.919740	6.4880e-05	5.7502	0.71875	39.39	8.862e-03	30.43	11.50	16.00
147	0.926310	2.7228e-03	1.2318	1.09846	5.72	1.178e-02	3.95	641.50	584.00
148	0.930590	7.2859e-04	2.5547	0.75934	9.81	1.256e-02	7.39	183.00	241.00
149	0.937050	2.6591e-05	30.0000	0.75000	54.01	1.128e-02	40.82	6.00	8.00
150	0.947150	1.0902e-05	17.0774	0.16667	234.52	2.293e-03	223.61	0.50	3.00
151	0.958630	1.9677e-04	5.4187	1.10417	20.09	1.347e-02	13.74	53.00	48.00
152	0.961080	7.9771e-05	26.6694	2.11111	40.47	1.191e-02	22.94	19.00	9.00
153	0.963367	1.4040e-03	4.3726	1.08136	8.08	1.136e-02	5.60	319.00	295.00
154	0.964057	1.4510e-01	0.4481	1.10424	0.78	1.188e-02	0.54	34465.50	31212.00
155	0.968650	7.9239e-05	2.7113	0.90323	37.29	8.834e-03	26.73	14.00	15.50
156	0.970220	1.1966e-05	26.6667	0.00000	0.00	0.000e+00	0.00	0.00	3.00
157	0.974090	1.3561e-04	5.8824	1.28125	23.59	1.512e-02	15.62	41.00	32.00
158	0.990180	3.1377e-04	4.2373	0.96575	16.74	1.123e-02	11.97	70.50	73.00
159	1.005270	6.5944e-03	1.6569	1.24301	3.91	1.113e-02	2.61	1468.00	1181.00
160	1.050100	7.1794e-06	40.7425	0.50000	70.71	2.089e-02	57.74	3.00	6.00
161	1.084380	1.0636e-04	7.5096	1.02778	34.12	8.697e-03	23.72	18.50	18.00
162	1.085837	1.0115e-01	0.4617	1.07928	1.00	1.037e-02	0.69	20972.00	19431.50
163	1.089737	1.7337e-02	0.4601	0.99858	2.39	1.011e-02	1.69	3505.00	3510.00
164	1.109180	1.8853e-03	3.3850	0.98703	7.23	1.009e-02	5.13	380.50	385.50
165	1.112076	1.3667e-01	0.5867	1.08512	0.88	9.963e-03	0.61	27235.00	25098.50
166	1.170970	3.7226e-04	4.3025	0.86813	15.38	1.061e-02	11.25	79.00	91.00
167	1.206090	1.3030e-04	10.2041	0.56522	34.70	4.989e-03	27.74	13.00	23.00
168	1.212948	1.4146e-02	0.5476	1.13435	2.87	9.162e-03	1.96	2592.00	2285.00
169	1.246340	9.3066e-06	14.2908	0.00000	0.00	0.000e+00	0.00	0.00	2.00
170	1.249940	1.8693e-03	1.3353	0.84987	7.44	8.934e-03	5.47	334.00	393.00
171	1.261350	3.3505e-04	3.9683	1.07826	18.37	9.252e-03	12.70	62.00	57.50
172	1.292780	1.0051e-03	2.6726	0.95808	11.06	7.959e-03	7.91	160.00	167.00
173	1.299142	1.6327e-02	0.4886	1.12749	2.72	8.829e-03	1.86	2883.00	2557.00
174	1.314600	1.9146e-05	27.7778	0.40000	83.67	5.223e-03	70.71	2.00	5.00
175	1.315580	3.6429e-05	4.3960	2.25000	60.09	1.235e-02	33.33	9.00	4.00
176	1.318380	1.5689e-05	8.4746	0.50000	70.71	9.561e-03	57.74	3.00	6.00
177	1.348100	1.7284e-04	4.6154	0.86486	24.14	9.257e-03	17.68	32.00	37.00
178	1.363780	2.5846e-04	2.2950	1.09091	20.87	9.286e-03	14.43	48.00	44.00
179	1.390500	4.2544e-05	3.7692	1.33333	54.01	9.402e-03	35.36	8.00	6.00
180	1.408013	2.0868e-01	0.4141	1.09785	0.79	8.029e-03	0.55	33509.00	30522.50
181	1.455100	2.4995e-05	19.1527	0.08696	73.72	4.001e-03	70.71	2.00	23.00
182	1.457643	4.9697e-03	0.8397	1.11596	5.49	7.455e-03	3.67	741.00	664.00
183	1.491400	5.8499e-06	45.4561	0.50000	122.47	8.547e-03	100.00	1.00	2.00
184	1.528100	2.7946e-03	1.2032	0.95545	7.12	6.906e-03	5.09	386.00	404.00
185	1.605620	7.8709e-05	4.7297	0.80000	38.73	7.623e-03	28.87	12.00	15.00
186	1.608360	5.3978e-05	3.9591	1.25000	47.43	9.263e-03	31.62	10.00	8.00
187	1.635380	1.6220e-06	26.2323	0.00000	0.00	0.000e+00	0.00	0.00	1.00
188	1.647440	7.2592e-05	4.7770	0.53846	46.88	4.821e-03	37.80	7.00	13.00
189	1.769090	9.3066e-05	2.3170	0.53333	43.78	4.298e-03	35.36	8.00	15.00
-----------------------------------------------------------------------------------

Coincidence sum peaks:
-----------------------------------------------------------------------------------
E, MeV	AreasCoi
0.07904	325
0.07964	1163
0.08024	1188
0.08482	132
0.08494	259
0.08526	4
0.08541	243
0.08553	459
0.08586	10
