ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
3593,1354.311,410.780,410.780,435.750,220.829,100.556,311.973,0.000,23.222,0.000,0.000,0.000,0.000,0.000,0.000
3594,1354.721,430.673,430.673,435.621,220.722,100.489,311.923,0.000,23.209,0.000,0.000,0.000,0.000,0.000,0.000
3595,1355.132,393.171,393.171,435.494,220.615,100.425,311.874,0.000,23.196,0.000,0.000,0.000,0.000,0.000,0.000
3596,1355.543,397.715,397.715,435.368,220.508,100.362,311.824,0.000,23.183,0.000,0.000,0.000,0.000,0.000,0.000
3597,1355.954,367.675,367.675,435.244,220.401,100.300,311.774,0.000,23.169,0.000,0.000,0.000,0.000,0.000,0.000
3598,1356.365,371.059,371.059,435.121,220.294,100.241,311.724,0.000,23.156,0.000,0.000,0.000,0.000,0.000,0.000
3599,1356.775,336.431,336.431,434.999,220.187,100.182,311.674,0.000,23.143,0.000,0.000,0.000,0.000,0.000,0.000
3600,1357.186,410.661,410.661,434.879,220.080,100.126,311.624,0.000,23.129,0.000,0.000,0.000,0.000,0.000,0.000
3601,1357.597,347.218,347.218,434.760,219.974,100.071,311.574,0.000,23.115,0.000,0.000,0.000,0.000,0.000,0.000
3602,1358.008,359.658,359.658,434.643,219.867,100.018,311.523,0.000,23.101,0.000,0.000,0.000,0.000,0.000,0.000
3603,1358.419,407.398,407.398,434.526,219.760,99.966,311.473,0.000,23.088,0.000,0.000,0.000,0.000,0.000,0.000
3604,1358.830,433.367,433.367,434.411,219.653,99.916,311.422,0.000,23.073,0.000,0.000,0.000,0.000,0.000,0.000
3605,1359.241,434.732,434.732,434.298,219.546,99.867,311.371,0.000,23.059,0.000,0.000,0.000,0.000,0.000,0.000
3606,1359.652,352.451,352.451,434.185,219.439,99.820,311.320,0.000,23.045,0.000,0.000,0.000,0.000,0.000,0.000
3607,1360.063,430.083,430.083,434.074,219.332,99.774,311.269,0.000,23.030,0.000,0.000,0.000,0.000,0.000,0.000
3608,1360.474,431.976,431.976,433.963,219.225,99.729,311.218,0.000,23.016,0.000,0.000,0.000,0.000,0.000,0.000
3609,1360.885,416.927,416.927,433.854,219.119,99.686,311.167,0.000,23.001,0.000,0.000,0.000,0.000,0.000,0.000
3610,1361.296,331.416,331.416,433.745,219.012,99.644,311.116,0.000,22.986,0.000,0.000,0.000,0.000,0.000,0.000
3611,1361.707,367.603,367.603,433.638,218.905,99.603,311.064,0.000,22.971,0.000,0.000,0.000,0.000,0.000,0.000
3612,1362.118,361.906,361.906,433.532,218.798,99.564,311.012,0.000,22.956,0.000,0.000,0.000,0.000,0.000,0.000
3613,1362.529,429.894,429.894,433.426,218.691,99.525,310.960,0.000,22.941,0.000,0.000,0.000,0.000,0.000,0.000
3614,1362.940,417.191,417.191,433.321,218.584,99.488,310.908,0.000,22.925,0.000,0.000,0.000,0.000,0.000,0.000
3615,1363.351,411.584,411.584,433.218,218.477,99.452,310.856,0.000,22.909,0.000,0.000,0.000,0.000,0.000,0.000
3616,1363.762,376.563,376.563,433.115,218.370,99.417,310.803,0.000,22.894,0.000,0.000,0.000,0.000,0.000,0.000
3617,1364.173,361.321,361.321,433.012,218.264,99.384,310.751,0.000,22.878,0.000,0.000,0.000,0.000,0.000,0.000
3618,1364.584,379.038,379.038,432.911,218.157,99.351,310.698,0.000,22.862,0.000,0.000,0.000,0.000,0.000,0.000
3619,1364.996,385.862,385.862,432.810,218.050,99.319,310.645,0.000,22.845,0.000,0.000,0.000,0.000,0.000,0.000
3620,1365.407,406.773,406.773,432.709,217.943,99.288,310.592,0.000,22.829,0.000,0.000,0.000,0.000,0.000,0.000
3621,1365.818,419.210,419.210,432.610,217.836,99.259,310.539,0.000,22.812,0.000,0.000,0.000,0.000,0.000,0.000
3622,1366.229,395.235,395.235,432.510,217.729,99.230,310.485,0.000,22.796,0.000,0.000,0.000,0.000,0.000,0.000
3623,1366.641,368.828,368.828,432.412,217.622,99.202,310.431,0.000,22.779,0.000,0.000,0.000,0.000,0.000,0.000
3624,1367.052,372.066,372.066,432.314,217.515,99.175,310.377,0.000,22.762,0.000,0.000,0.000,0.000,0.000,0.000
3625,1367.463,445.775,445.775,432.216,217.409,99.148,310.323,0.000,22.744,0.000,0.000,0.000,0.000,0.000,0.000
3626,1367.874,424.457,424.457,432.119,217.302,99.123,310.269,0.000,22.727,0.000,0.000,0.000,0.000,0.000,0.000
3627,1368.286,422.838,422.838,432.022,217.195,99.098,310.214,0.000,22.709,0.000,0.000,0.000,0.000,0.000,0.000
3628,1368.697,376.448,376.448,431.925,217.088,99.074,310.160,0.000,22.692,0.000,0.000,0.000,0.000,0.000,0.000
3629,1369.109,389.940,389.940,431.829,216.981,99.050,310.105,0.000,22.674,0.000,0.000,0.000,0.000,0.000,0.000
3630,1369.520,415.487,415.487,431.733,216.874,99.028,310.049,0.000,22.656,0.000,0.000,0.000,0.000,0.000,0.000
3631,1369.931,380.504,380.504,431.637,216.767,99.006,309.994,0.000,22.637,0.000,0.000,0.000,0.000,0.000,0.000
3632,1370.343,398.890,398.890,431.541,216.660,98.984,309.938,0.000,22.619,0.000,0.000,0.000,0.000,0.000,0.000
3633,1370.754,370.267,370.267,431.446,216.554,98.963,309.882,0.000,22.600,0.000,0.000,0.000,0.000,0.000,0.000
3634,1371.166,378.790,378.790,431.350,216.447,98.943,309.826,0.000,22.581,0.000,0.000,0.000,0.000,0.000,0.000
3635,1371.577,301.446,301.446,431.255,216.340,98.923,309.770,0.000,22.562,0.000,0.000,0.000,0.000,0.000,0.000
3636,1371.989,380.245,380.245,431.160,216.233,98.904,309.714,0.000,22.543,0.000,0.000,0.000,0.000,0.000,0.000
3637,1372.400,365.385,365.385,431.065,216.126,98.885,309.657,0.000,22.524,0.000,0.000,0.000,0.000,0.000,0.000
3638,1372.812,420.911,420.911,430.970,216.019,98.866,309.600,0.000,22.504,0.000,0.000,0.000,0.000,0.000,0.000
3639,1373.223,439.771,439.771,430.874,215.912,98.848,309.543,0.000,22.484,0.000,0.000,0.000,0.000,0.000,0.000
3640,1373.635,385.326,385.326,430.779,215.805,98.830,309.485,0.000,22.464,0.000,0.000,0.000,0.000,0.000,0.000
3641,1374.046,454.894,454.894,430.684,215.699,98.813,309.427,0.000,22.444,0.000,0.000,0.000,0.000,0.000,0.000
3642,1374.458,380.965,380.965,430.588,215.592,98.796,309.369,0.000,22.423,0.000,0.000,0.000,0.000,0.000,0.000
3643,1374.870,385.536,385.536,430.492,215.485,98.779,309.311,0.000,22.403,0.000,0.000,0.000,0.000,0.000,0.000
3644,1375.281,441.059,441.059,430.397,215.378,98.762,309.253,0.000,22.382,0.000,0.000,0.000,0.000,0.000,0.000
3645,1375.693,399.459,399.459,430.300,215.271,98.746,309.194,0.000,22.361,0.000,0.000,0.000,0.000,0.000,0.000
3646,1376.105,428.810,428.810,430.204,215.164,98.730,309.135,0.000,22.339,0.000,0.000,0.000,0.000,0.000,0.000
3647,1376.516,436.151,436.151,430.107,215.057,98.714,309.076,0.000,22.318,0.000,0.000,0.000,0.000,0.000,0.000
3648,1376.928,421.172,421.172,430.010,214.950,98.698,309.016,0.000,22.296,0.000,0.000,0.000,0.000,0.000,0.000
3649,1377.340,375.658,375.658,429.913,214.844,98.682,308.957,0.000,22.274,0.000,0.000,0.000,0.000,0.000,0.000
3650,1377.751,416.133,416.133,429.815,214.737,98.666,308.897,0.000,22.252,0.000,0.000,0.000,0.000,0.000,0.000
3651,1378.163,399.261,399.261,429.717,214.630,98.651,308.836,0.000,22.230,0.000,0.000,0.000,0.000,0.000,0.000
3652,1378.575,376.868,376.868,429.618,214.523,98.635,308.776,0.000,22.207,0.000,0.000,0.000,0.000,0.000,0.000
3653,1378.987,340.439,340.439,429.519,214.416,98.620,308.715,0.000,22.184,0.000,0.000,0.000,0.000,0.000,0.000
3654,1379.399,451.252,451.252,429.420,214.309,98.604,308.654,0.000,22.161,0.000,0.000,0.000,0.000,0.000,0.000
3655,1379.810,408.953,408.953,429.320,214.202,98.589,308.593,0.000,22.138,0.000,0.000,0.000,0.000,0.000,0.000
3656,1380.222,406.864,406.864,429.219,214.096,98.573,308.531,0.000,22.114,0.000,0.000,0.000,0.000,0.000,0.000
3657,1380.634,418.112,418.112,429.118,213.989,98.558,308.470,0.000,22.091,0.000,0.000,0.000,0.000,0.000,0.000
3658,1381.046,459.777,459.777,429.016,213.882,98.542,308.408,0.000,22.067,0.000,0.000,0.000,0.000,0.000,0.000
3659,1381.458,414.594,414.594,428.914,213.775,98.526,308.345,0.000,22.042,0.000,0.000,0.000,0.000,0.000,0.000
3660,1381.870,430.303,430.303,428.811,213.668,98.510,308.283,0.000,22.018,0.000,0.000,0.000,0.000,0.000,0.000
3661,1382.282,442.967,442.967,428.708,213.561,98.494,308.220,0.000,21.993,0.000,0.000,0.000,0.000,0.000,0.000
3662,1382.694,400.474,400.474,428.603,213.454,98.478,308.157,0.000,21.968,0.000,0.000,0.000,0.000,0.000,0.000
3663,1383.106,376.353,376.353,428.498,213.347,98.462,308.094,0.000,21.943,0.000,0.000,0.000,0.000,0.000,0.000
3664,1383.518,423.326,423.326,428.393,213.241,98.445,308.030,0.000,21.918,0.000,0.000,0.000,0.000,0.000,0.000
3665,1383.930,369.033,369.033,428.287,213.134,98.429,307.966,0.000,21.892,0.000,0.000,0.000,0.000,0.000,0.000
3666,1384.342,385.722,385.722,428.180,213.027,98.412,307.902,0.000,21.866,0.000,0.000,0.000,0.000,0.000,0.000
3667,1384.754,380.468,380.468,428.072,212.920,98.395,307.838,0.000,21.840,0.000,0.000,0.000,0.000,0.000,0.000
3668,1385.166,391.157,391.157,427.963,212.813,98.377,307.773,0.000,21.813,0.000,0.000,0.000,0.000,0.000,0.000
3669,1385.578,429.881,429.881,427.854,212.706,98.359,307.708,0.000,21.787,0.000,0.000,0.000,0.000,0.000,0.000
3670,1385.990,387.216,387.216,427.744,212.599,98.341,307.643,0.000,21.760,0.000,0.000,0.000,0.000,0.000,0.000
3671,1386.402,441.757,441.757,427.633,212.492,98.323,307.578,0.000,21.733,0.000,0.000,0.000,0.000,0.000,0.000
3672,1386.814,472.270,472.270,427.522,212.386,98.304,307.512,0.000,21.705,0.000,0.000,0.000,0.000,0.000,0.000
3673,1387.226,429.674,429.674,427.409,212.279,98.286,307.446,0.000,21.678,0.000,0.000,0.000,0.000,0.000,0.000
3674,1387.639,373.231,373.231,427.296,212.172,98.266,307.380,0.000,21.650,0.000,0.000,0.000,0.000,0.000,0.000
3675,1388.051,385.589,385.589,427.182,212.065,98.247,307.313,0.000,21.622,0.000,0.000,0.000,0.000,0.000,0.000
3676,1388.463,476.185,476.185,427.067,211.958,98.227,307.247,0.000,21.593,0.000,0.000,0.000,0.000,0.000,0.000
3677,1388.875,436.563,436.563,426.951,211.851,98.207,307.180,0.000,21.564,0.000,0.000,0.000,0.000,0.000,0.000
3678,1389.287,446.449,446.449,426.834,211.744,98.186,307.113,0.000,21.535,0.000,0.000,0.000,0.000,0.000,0.000
3679,1389.700,392.900,392.900,426.717,211.637,98.165,307.045,0.000,21.506,0.000,0.000,0.000,0.000,0.000,0.000
3680,1390.112,409.813,409.813,426.598,211.531,98.144,306.978,0.000,21.477,0.000,0.000,0.000,0.000,0.000,0.000
3681,1390.524,368.968,368.968,426.479,211.424,98.122,306.910,0.000,21.447,0.000,0.000,0.000,0.000,0.000,0.000
3682,1390.936,421.223,421.223,426.359,211.317,98.100,306.842,0.000,21.417,0.000,0.000,0.000,0.000,0.000,0.000
3683,1391.349,396.159,396.159,426.238,211.210,98.077,306.773,0.000,21.387,0.000,0.000,0.000,0.000,0.000,0.000
3684,1391.761,395.971,395.971,426.116,211.103,98.054,306.705,0.000,21.356,0.000,0.000,0.000,0.000,0.000,0.000
3685,1392.173,460.297,460.297,425.993,210.996,98.031,306.636,0.000,21.326,0.000,0.000,0.000,0.000,0.000,0.000
3686,1392.586,392.479,392.479,425.869,210.889,98.007,306.567,0.000,21.295,0.000,0.000,0.000,0.000,0.000,0.000
3687,1392.998,415.964,415.964,425.744,210.782,97.983,306.498,0.000,21.264,0.000,0.000,0.000,0.000,0.000,0.000
3688,1393.411,423.026,423.026,425.619,210.676,97.959,306.428,0.000,21.232,0.000,0.000,0.000,0.000,0.000,0.000
3689,1393.823,402.443,402.443,425.493,210.569,97.934,306.359,0.000,21.200,0.000,0.000,0.000,0.000,0.000,0.000
3690,1394.235,421.336,421.336,425.365,210.462,97.908,306.289,0.000,21.168,0.000,0.000,0.000,0.000,0.000,0.000
3691,1394.648,429.649,429.649,425.237,210.355,97.883,306.219,0.000,21.136,0.000,0.000,0.000,0.000,0.000,0.000
3692,1395.060,346.721,346.721,425.108,210.248,97.857,306.148,0.000,21.103,0.000,0.000,0.000,0.000,0.000,0.000
3693,1395.473,452.992,452.992,424.979,210.141,97.830,306.078,0.000,21.071,0.000,0.000,0.000,0.000,0.000,0.000
3694,1395.885,468.150,468.150,424.848,210.034,97.803,306.007,0.000,21.038,0.000,0.000,0.000,0.000,0.000,0.000
3695,1396.298,453.957,453.957,424.717,209.927,97.776,305.936,0.000,21.004,0.000,0.000,0.000,0.000,0.000,0.000
3696,1396.710,369.722,369.722,424.584,209.821,97.749,305.865,0.000,20.971,0.000,0.000,0.000,0.000,0.000,0.000
3697,1397.123,417.818,417.818,424.451,209.714,97.721,305.794,0.000,20.937,0.000,0.000,0.000,0.000,0.000,0.000
3698,1397.536,408.123,408.123,424.317,209.607,97.692,305.722,0.000,20.903,0.000,0.000,0.000,0.000,0.000,0.000
3699,1397.948,466.788,466.788,424.183,209.500,97.664,305.651,0.000,20.869,0.000,0.000,0.000,0.000,0.000,0.000
