ch,keV,net,fit,model,continuum_raw,Lu-176,continuum
171,54.677,920.007,920.007,1407.118,101.089,1407.118,0.000
172,55.042,813.170,813.170,1358.282,103.336,1358.282,0.000
173,55.407,772.823,772.823,1308.930,105.582,1308.930,0.000
174,55.772,792.636,792.636,1259.783,107.828,1259.783,0.000
175,56.137,785.834,785.834,1211.458,110.075,1211.458,0.000
176,56.502,668.726,668.726,1164.460,112.321,1164.460,0.000
177,56.867,668.529,668.529,1119.174,114.568,1119.174,0.000
178,57.232,579.001,579.001,1075.871,116.814,1075.871,0.000
179,57.597,663.147,663.147,1034.705,119.061,1034.705,0.000
180,57.962,594.148,594.148,995.733,121.307,995.733,0.000
181,58.327,661.945,661.945,958.923,123.553,958.923,0.000
182,58.692,560.065,560.065,924.171,125.800,924.171,0.000
183,59.057,643.461,643.461,891.320,128.046,891.320,0.000
184,59.422,566.584,566.584,860.179,130.293,860.179,0.000
185,59.787,545.719,545.719,830.537,132.539,830.537,0.000
186,60.152,565.651,565.651,802.184,134.785,802.184,0.000
187,60.517,598.386,598.386,774.920,137.032,774.920,0.000
188,60.882,630.503,630.503,748.568,139.278,748.568,0.000
189,61.247,560.739,560.739,722.984,141.525,722.984,0.000
190,61.612,558.393,558.393,698.060,143.771,698.060,0.000
191,61.977,561.471,561.471,673.727,146.018,673.727,0.000
192,62.342,563.814,563.814,649.955,148.264,649.955,0.000
193,62.708,517.991,517.991,626.750,150.510,626.750,0.000
194,63.073,563.355,563.355,604.150,152.757,604.150,0.000
195,63.438,596.856,596.856,582.218,155.003,582.218,0.000
196,63.803,513.281,513.281,561.035,157.250,561.035,0.000
197,64.168,461.435,461.435,540.697,159.496,540.697,0.000
198,64.533,449.603,449.603,521.303,161.743,521.303,0.000
199,64.898,432.553,432.553,502.949,163.989,502.949,0.000
200,65.263,460.993,460.993,485.725,166.235,485.725,0.000
201,65.628,452.306,452.306,469.711,168.482,469.711,0.000
202,65.994,336.377,336.377,454.969,170.728,454.969,0.000
203,66.359,422.980,422.980,441.543,172.975,441.543,0.000
204,66.724,337.466,337.466,429.458,175.221,429.458,0.000
205,67.089,393.631,393.631,418.722,177.468,418.722,0.000
206,67.454,367.273,367.273,409.320,179.714,409.320,0.000
207,67.819,426.196,426.196,401.223,181.960,401.223,0.000
208,68.185,375.378,375.378,396.438,186.258,396.438,0.000
209,68.550,467.174,467.174,392.856,190.556,392.856,0.000
210,68.915,428.694,428.694,390.410,194.854,390.410,0.000
211,69.280,463.236,463.236,389.025,199.152,389.025,0.000
212,69.645,451.447,451.447,388.624,203.450,388.624,0.000
213,70.011,490.712,490.712,389.127,207.748,389.127,0.000
214,70.376,393.571,393.571,390.456,212.046,390.456,0.000
215,70.741,424.217,424.217,392.536,216.343,392.536,0.000
216,71.106,495.044,495.044,395.293,220.641,395.293,0.000
217,71.472,496.563,496.563,398.665,224.939,398.665,0.000
218,71.837,553.457,553.457,402.591,229.237,402.591,0.000
219,72.202,564.311,564.311,407.021,233.535,407.021,0.000
220,72.567,508.978,508.978,411.911,237.833,411.911,0.000
221,72.933,502.539,502.539,417.224,242.131,417.224,0.000
222,73.298,577.633,577.633,422.931,246.429,422.931,0.000
223,73.663,525.807,525.807,429.009,250.726,429.009,0.000
224,74.028,505.989,505.989,435.440,255.024,435.440,0.000
225,74.394,569.977,569.977,442.213,259.322,442.213,0.000
226,74.759,505.321,505.321,449.318,263.620,449.318,0.000
227,75.124,578.725,578.725,456.751,267.918,456.751,0.000
228,75.490,603.698,603.698,464.508,272.216,464.508,0.000
229,75.855,573.838,573.838,472.584,276.514,472.584,0.000
230,76.220,608.060,608.060,480.977,280.812,480.977,0.000
231,76.586,518.312,518.312,489.682,285.110,489.682,0.000
232,76.951,558.533,558.533,498.689,289.407,498.689,0.000
233,77.317,603.199,603.199,507.987,293.705,507.987,0.000
234,77.682,611.828,611.828,517.561,298.003,517.561,0.000
235,78.047,600.730,600.730,527.387,302.301,527.387,0.000
236,78.413,654.808,654.808,537.440,306.599,537.440,0.000
